dimensions: 3
-2.866242 5.414013 -5.095541 
-15.923567 6.050955 -8.280255 
8.917197 2.547771 3.821656 
4.458599 -14.331210 -1.592357 
9.872611 -7.324841 3.503185 
13.057325 14.331210 -2.547771 
-7.324841 -4.458599 13.057325 
-14.649682 -15.286624 0.955414 
13.375796 10.191083 -9.235669 
-10.828025 -10.191083 14.331210 
-0.955414 -7.643312 6.687898 
-3.821656 6.050955 -12.101911 
5.414013 15.605096 -4.777070 
14.012739 -14.968153 -12.420382 
-8.917197 -5.414013 7.324841 
4.458599 -2.866242 -12.420382 
0.955414 5.732484 -0.955414 
-1.910828 3.821656 2.229299 
-4.140127 2.866242 -8.598726 
-2.866242 -6.687898 8.917197 
-10.828025 -4.777070 12.738854 
-2.547771 12.101911 -14.012739 
-3.184713 -2.547771 4.458599 
-0.636943 -1.273885 -14.331210 
12.738854 -6.687898 6.369427 
0.000000 -14.012739 -15.605096 
13.694268 -0.636943 -6.687898 
-8.598726 10.828025 1.273885 
1.910828 -3.184713 5.095541 
8.280255 -6.050955 -13.375796 
-1.910828 -3.503185 -7.643312 
-8.598726 -4.140127 -3.821656 
-10.191083 10.191083 -6.687898 
-2.866242 -5.414013 -11.146497 
-3.503185 2.547771 -14.649682 
-6.369427 8.598726 -14.012739 
7.324841 11.464968 -9.235669 
-1.592357 -8.280255 7.006369 
6.369427 -6.687898 8.598726 
7.324841 14.968153 -12.101911 
11.464968 12.738854 3.503185 
-4.458599 1.592357 5.414013 
1.592357 7.643312 -6.050955 
0.636943 0.000000 0.000000 
-2.866242 -8.280255 5.095541 
-6.369427 -13.694268 13.057325 
-13.694268 -4.140127 2.229299 
11.783439 0.955414 10.509554 
-1.592357 -13.057325 -13.057325 
2.547771 -9.235669 12.101911 
-8.917197 -1.273885 -14.012739 
-6.369427 -11.783439 5.732484 
-15.923567 13.057325 3.821656 
1.592357 -12.738854 2.866242 
-8.280255 -4.140127 -0.636943 
10.509554 14.331210 -2.866242 
-15.286624 0.000000 13.057325 
-4.458599 7.643312 -9.554140 
14.649682 -9.235669 -0.636943 
15.605096 5.732484 10.828025 
9.872611 -5.095541 0.955414 
15.605096 -10.191083 -3.821656 
-15.923567 12.101911 -7.324841 
5.414013 -7.006369 13.694268 
-0.636943 10.509554 -13.694268 
-9.235669 -12.738854 -10.509554 
-11.783439 -11.464968 -13.057325 
-10.828025 -4.777070 0.318471 
-15.923567 -0.318471 -9.872611 
1.910828 15.286624 -14.968153 
-8.280255 -13.375796 -1.910828 
-13.057325 12.420382 -15.286624 
14.331210 11.146497 13.694268 
-2.229299 -8.598726 11.783439 
-11.464968 -14.968153 -0.636943 
-15.923567 2.547771 -10.191083 
9.554140 14.649682 15.286624 
9.872611 12.420382 15.286624 
-13.057325 2.229299 7.006369 
-8.917197 -3.821656 13.375796 
-3.821656 9.235669 12.738854 
2.229299 2.547771 13.057325 
-11.146497 12.101911 1.910828 
-12.420382 -15.286624 -5.095541 
7.006369 1.592357 -7.006369 
-1.273885 3.821656 11.464968 
7.961783 -5.414013 6.050955 
-2.547771 -1.910828 -10.828025 
9.872611 15.286624 -8.917197 
0.318471 -9.235669 15.605096 
2.229299 8.280255 13.375796 
12.420382 7.961783 -12.101911 
-15.923567 -12.738854 -14.968153 
6.050955 3.503185 12.101911 
-15.605096 12.420382 1.592357 
-8.598726 -15.286624 11.146497 
10.191083 11.146497 12.101911 
-7.643312 -10.509554 2.229299 
-5.732484 -5.732484 6.050955 
1.273885 -9.235669 12.420382 
8.280255 -6.687898 5.732484 
13.375796 -7.961783 1.592357 
-5.095541 -0.318471 -2.866242 
-12.101911 -1.592357 3.184713 
-10.191083 0.955414 -3.503185 
-8.598726 9.235669 14.649682 
11.783439 -6.687898 -0.318471 
-4.140127 5.095541 -0.318471 
13.694268 14.331210 14.968153 
-10.828025 11.464968 -14.331210 
12.101911 10.191083 1.592357 
-5.095541 -11.464968 -15.605096 
-10.828025 6.687898 11.464968 
4.140127 -11.783439 1.592357 
11.146497 0.955414 -12.101911 
-13.375796 -5.732484 -1.592357 
-11.783439 1.910828 -9.235669 
2.547771 -1.273885 10.191083 
9.872611 -1.910828 14.649682 
-8.917197 -6.687898 3.503185 
-4.777070 0.000000 7.324841 
5.095541 -1.910828 2.866242 
13.375796 -3.503185 0.955414 
-8.280255 1.273885 -12.738854 
-1.592357 -0.318471 11.464968 
-11.783439 7.643312 -8.917197 
5.732484 -10.191083 11.783439 
-14.331210 2.547771 13.057325 
-15.286624 -7.961783 8.598726 
-11.464968 -11.464968 -8.280255 
-5.095541 7.643312 7.006369 
2.866242 -5.414013 6.369427 
11.783439 14.968153 -10.191083 
8.598726 7.324841 6.369427 
4.140127 5.732484 13.375796 
11.146497 -15.286624 9.554140 
-11.783439 -7.324841 -15.286624 
